Class Date,Topics,Attendance
"Thursday, January 16, 2025",Course Introduction and Syllabus,N/A
"Tuesday, January 21, 2025",Class Cancelled Due to Weather,Submit Your Notes
"Thursday, January 23, 2025",Introduction to Operations Management and Strategy,Submit Your Notes
"Tuesday, January 28, 2025",Strategy and Productivity ,Submit Your Notes
"Thursday, January 30, 2025",Forecasting I,Submit Your Notes
"Tuesday, February 4, 2025",Forecasting II,Submit Your Notes
"Thursday, February 6, 2025",Forecasting III,Submit Your Notes
"Tuesday, February 11, 2025",Forecasting Lab,Submit Your Notes
"Thursday, February 13, 2025",Probability Overview and Exam 1 Review,N/A
"Tuesday, February 18, 2025",Exam 1,N/A
"Thursday, February 20, 2025",Capacity Management,Submit Your Notes
"Tuesday, February 25, 2025",Project Management,Submit Your Notes
"Thursday, February 27, 2025",Project Management,Submit Your Notes
"Tuesday, March 4, 2025",Project Management Lab,Submit Your Notes
"Thursday, March 6, 2025",No Class - Conference Travel,N/A
"Tuesday, March 11, 2025",Spring Break. Have Fun.,N/A
"Thursday, March 13, 2025",Spring Break. Have Fun.,N/A
"Tuesday, March 18, 2025",Process Analysis - Manufacturing,Submit Your Notes
"Thursday, March 20, 2025",Process Analysis - Service,Submit Your Notes
"Tuesday, March 25, 2025",Exam 2 Review and Project Introduction,N/A
"Thursday, March 27, 2025",Exam 2,N/A
"Tuesday, April 1, 2025",Assembly Line Balancing,Submit Your Notes
"Thursday, April 3, 2025",Facility and Location,Submit Your Notes
"Tuesday, April 8, 2025",Inventory Management I ,Submit Your Notes
"Thursday, April 10, 2025",Inventory Management II,Submit Your Notes
"Tuesday, April 15, 2025",Inventory Management Lab,Submit Your Notes
"Thursday, April 17, 2025",Operations Research and Optimization,Submit Your Notes
"Tuesday, April 22, 2025",Operations Research and Optimization Lab,Submit Your Notes
"Thursday, April 24, 2025",Project Day,N/A
"Tuesday, April 29, 2025",Project Presentations,N/A
"Thursday, May 1, 2025",Exam 3 Review,N/A
"Wednesday, May 7, 2025","Exam 3(Take-home, Online, Individual)",N/A
